Card 1,Card 2,Card 3,Card 4,Card 5,Hand
10 Spades,4 Heart,3 Clubs,Jack Heart,Jack Spades,One pair
3 Diamonds,5 Heart,7 Spades,King Heart,Jack Spades,Nothing in hand
8 Heart,King Clubs,Queen Diamonds,6 Spades,Jack Heart,Nothing in hand
8 Heart,5 Spades,4 Heart,7 Spades,7 Diamonds,One pair
8 Spades,King Heart,10 Diamonds,King Diamonds,Ace Spades,One pair
Queen Clubs,2 Diamonds,King Spades,5 Diamonds,Ace Heart,Nothing in hand
Jack Spades,King Heart,5 Heart,9 Diamonds,10 Clubs,Nothing in hand
Queen Clubs,Queen Diamonds,4 Diamonds,9 Diamonds,9 Heart,Two pairs
7 Spades,King Spades,9 Diamonds,Jack Diamonds,4 Diamonds,Nothing in hand
4 Spades,6 Heart,King Spades,Queen Clubs,4 Clubs,One pair
4 Diamonds,9 Heart,6 Heart,10 Diamonds,Queen Spades,Nothing in hand
5 Heart,2 Spades,7 Diamonds,10 Spades,5 Diamonds,One pair
7 Clubs,3 Clubs,8 Heart,3 Spades,10 Spades,One pair
King Diamonds,4 Clubs,8 Spades,9 Heart,10 Diamonds,Nothing in hand
4 Clubs,Queen Spades,10 Diamonds,5 Clubs,7 Diamonds,Nothing in hand
6 Diamonds,King Spades,King Diamonds,4 Spades,4 Clubs,Two pairs
8 Clubs,5 Clubs,8 Spades,7 Spades,7 Heart,Two pairs
Queen Heart,7 Diamonds,7 Heart,6 Heart,5 Spades,One pair
Jack Diamonds,King Diamonds,2 Clubs,Queen Heart,4 Clubs,Nothing in hand
Jack Clubs,4 Spades,Queen Clubs,7 Clubs,8 Spades,Nothing in hand
7 Spades,King Heart,Jack Spades,10 Diamonds,5 Spades,Nothing in hand
3 Spades,Queen Clubs,8 Diamonds,2 Heart,9 Spades,Nothing in hand
Ace Clubs,7 Diamonds,3 Clubs,10 Spades,King Heart,Nothing in hand
King Spades,6 Heart,3 Spades,Queen Heart,3 Clubs,One pair
9 Heart,3 Heart,7 Diamonds,Ace Clubs,2 Spades,Nothing in hand
King Spades,King Clubs,4 Clubs,9 Heart,4 Spades,Two pairs
Jack Spades,2 Diamonds,Jack Clubs,6 Diamonds,2 Clubs,Two pairs
Ace Spades,King Clubs,6 Heart,8 Heart,10 Spades,Nothing in hand
10 Diamonds,King Clubs,4 Diamonds,Jack Diamonds,2 Clubs,Nothing in hand
7 Spades,10 Heart,5 Spades,9 Diamonds,9 Heart,One pair
7 Diamonds,9 Heart,8 Spades,4 Spades,2 Heart,Nothing in hand
King Clubs,7 Spades,King Diamonds,Ace Diamonds,Jack Diamonds,One pair
Jack Clubs,King Heart,Queen Spades,8 Clubs,5 Diamonds,Nothing in hand
King Clubs,7 Spades,9 Clubs,4 Clubs,10 Clubs,Nothing in hand
Queen Spades,6 Heart,King Clubs,7 Heart,3 Spades,Nothing in hand
4 Clubs,7 Diamonds,9 Diamonds,8 Heart,9 Spades,One pair
Queen Spades,4 Heart,4 Diamonds,2 Diamonds,King Heart,One pair
8 Clubs,King Diamonds,2 Diamonds,Jack Heart,3 Heart,Nothing in hand
Ace Diamonds,2 Diamonds,7 Heart,3 Diamonds,Ace Clubs,One pair
Jack Spades,Queen Clubs,5 Diamonds,3 Heart,2 Diamonds,Nothing in hand
8 Diamonds,3 Clubs,6 Heart,6 Diamonds,2 Diamonds,One pair
Ace Spades,5 Diamonds,Ace Heart,6 Diamonds,9 Clubs,One pair
4 Clubs,Queen Clubs,2 Spades,4 Heart,8 Clubs,One pair
3 Spades,King Diamonds,4 Heart,Ace Spades,8 Heart,Nothing in hand
5 Clubs,5 Spades,4 Spades,3 Spades,Jack Diamonds,One pair
7 Spades,6 Clubs,7 Diamonds,5 Clubs,9 Spades,One pair
6 Clubs,3 Heart,7 Diamonds,8 Heart,Queen Clubs,Nothing in hand
3 Diamonds,Queen Clubs,5 Clubs,Ace Diamonds,8 Spades,Nothing in hand
6 Spades,King Clubs,9 Diamonds,2 Clubs,5 Clubs,Nothing in hand
10 Heart,10 Clubs,2 Heart,9 Spades,Ace Diamonds,One pair
4 Clubs,6 Heart,8 Spades,King Spades,10 Diamonds,Nothing in hand
6 Spades,Queen Heart,Queen Spades,10 Heart,9 Diamonds,One pair
Queen Clubs,Queen Spades,9 Heart,8 Diamonds,9 Diamonds,Two pairs
4 Clubs,Jack Diamonds,2 Heart,8 Clubs,10 Heart,Nothing in hand
Jack Spades,6 Spades,3 Spades,King Heart,Jack Clubs,One pair
6 Spades,10 Clubs,3 Spades,7 Heart,Ace Diamonds,Nothing in hand
2 Spades,Jack Heart,4 Diamonds,2 Diamonds,3 Heart,One pair
King Heart,King Spades,2 Heart,Ace Clubs,3 Clubs,One pair
7 Clubs,Ace Spades,7 Heart,6 Diamonds,8 Diamonds,One pair
5 Diamonds,King Clubs,6 Heart,4 Clubs,10 Clubs,Nothing in hand
King Clubs,Queen Spades,8 Clubs,3 Spades,Ace Spades,Nothing in hand
10 Spades,Queen Diamonds,6 Clubs,4 Spades,2 Spades,Nothing in hand
3 Spades,2 Diamonds,King Clubs,9 Diamonds,Ace Spades,Nothing in hand
2 Heart,Queen Clubs,4 Spades,6 Clubs,8 Clubs,Nothing in hand
3 Clubs,5 Clubs,King Clubs,9 Heart,3 Diamonds,One pair
10 Heart,9 Spades,3 Diamonds,Jack Diamonds,2 Diamonds,Nothing in hand
5 Clubs,King Clubs,6 Clubs,King Diamonds,9 Clubs,One pair
6 Diamonds,10 Diamonds,Ace Clubs,3 Heart,9 Clubs,Nothing in hand
7 Clubs,Queen Spades,9 Heart,8 Diamonds,2 Clubs,Nothing in hand
8 Diamonds,King Clubs,8 Spades,Jack Heart,King Diamonds,Two pairs
5 Diamonds,4 Clubs,5 Spades,Ace Clubs,Queen Clubs,One pair
10 Clubs,5 Heart,2 Heart,9 Diamonds,10 Diamonds,One pair
5 Diamonds,6 Clubs,4 Clubs,6 Diamonds,6 Spades,Three of a kind
Ace Spades,10 Clubs,10 Heart,3 Diamonds,9 Diamonds,One pair
9 Spades,Ace Diamonds,9 Diamonds,3 Heart,10 Diamonds,One pair
9 Clubs,2 Clubs,4 Heart,9 Spades,6 Diamonds,One pair
King Spades,Queen Spades,3 Heart,9 Heart,Queen Diamonds,One pair
Jack Heart,Jack Clubs,4 Spades,Jack Diamonds,9 Diamonds,Three of a kind
8 Heart,4 Spades,5 Spades,8 Diamonds,3 Clubs,One pair
9 Diamonds,Jack Clubs,King Diamonds,2 Spades,Queen Spades,Nothing in hand
King Clubs,4 Clubs,4 Heart,3 Heart,Jack Heart,One pair
8 Diamonds,4 Spades,King Clubs,8 Spades,Ace Clubs,One pair
Jack Clubs,6 Clubs,King Spades,3 Spades,Ace Spades,Nothing in hand
5 Heart,Ace Diamonds,6 Spades,9 Spades,Jack Heart,Nothing in hand
10 Clubs,6 Clubs,2 Clubs,9 Clubs,Jack Diamonds,Nothing in hand
9 Spades,8 Heart,8 Clubs,10 Spades,Jack Clubs,One pair
7 Heart,Jack Spades,6 Spades,Queen Spades,4 Clubs,Nothing in hand
King Spades,8 Clubs,8 Heart,10 Diamonds,4 Diamonds,One pair
Jack Diamonds,9 Diamonds,8 Clubs,Jack Spades,3 Diamonds,One pair
5 Diamonds,10 Spades,6 Spades,5 Clubs,2 Spades,One pair
10 Spades,6 Diamonds,9 Heart,Jack Diamonds,King Diamonds,Nothing in hand
Queen Spades,Queen Heart,6 Diamonds,5 Heart,10 Heart,One pair
3 Diamonds,9 Clubs,8 Diamonds,2 Diamonds,8 Spades,One pair
7 Spades,King Clubs,Ace Clubs,8 Heart,2 Clubs,Nothing in hand
8 Spades,9 Clubs,9 Heart,6 Diamonds,Queen Heart,One pair
4 Clubs,7 Clubs,Queen Clubs,6 Clubs,King Heart,Nothing in hand
8 Heart,7 Clubs,Ace Clubs,10 Spades,Jack Diamonds,Nothing in hand
Jack Spades,7 Heart,2 Diamonds,7 Spades,4 Spades,One pair
8 Spades,5 Spades,King Clubs,6 Clubs,Ace Spades,Nothing in hand
6 Clubs,8 Spades,9 Spades,Ace Clubs,8 Clubs,One pair
Queen Heart,Ace Heart,4 Spades,5 Clubs,King Diamonds,Nothing in hand
4 Heart,4 Diamonds,Ace Spades,2 Diamonds,6 Spades,One pair
4 Heart,3 Diamonds,5 Spades,Jack Diamonds,7 Clubs,Nothing in hand
2 Clubs,Ace Clubs,King Diamonds,9 Spades,3 Heart,Nothing in hand
6 Spades,2 Diamonds,Ace Diamonds,3 Spades,2 Spades,One pair
9 Spades,7 Diamonds,8 Clubs,4 Clubs,2 Heart,Nothing in hand
6 Clubs,7 Clubs,Ace Spades,5 Diamonds,5 Spades,One pair
5 Diamonds,Jack Diamonds,7 Spades,9 Heart,Jack Heart,One pair
3 Diamonds,Jack Clubs,8 Diamonds,King Spades,10 Diamonds,Nothing in hand
7 Heart,King Diamonds,7 Diamonds,Queen Spades,3 Diamonds,One pair
Jack Heart,Jack Diamonds,8 Diamonds,10 Clubs,3 Diamonds,One pair
2 Heart,Queen Clubs,7 Spades,5 Spades,King Diamonds,Nothing in hand
Jack Diamonds,Ace Diamonds,9 Diamonds,3 Clubs,4 Spades,Nothing in hand
4 Diamonds,10 Diamonds,4 Heart,Ace Clubs,9 Diamonds,One pair
2 Heart,6 Heart,7 Clubs,Ace Spades,Jack Spades,Nothing in hand
5 Heart,7 Clubs,6 Spades,9 Heart,4 Heart,Nothing in hand
6 Clubs,King Clubs,7 Heart,2 Diamonds,Jack Heart,Nothing in hand
Ace Heart,4 Spades,10 Spades,6 Spades,7 Clubs,Nothing in hand
5 Spades,2 Heart,Jack Spades,Jack Clubs,Queen Heart,One pair
Queen Diamonds,9 Spades,Ace Spades,6 Diamonds,8 Diamonds,Nothing in hand
3 Heart,4 Clubs,10 Diamonds,8 Spades,3 Spades,One pair
King Clubs,5 Spades,5 Diamonds,2 Heart,7 Spades,One pair
Queen Spades,Queen Heart,5 Clubs,2 Diamonds,5 Heart,Two pairs
King Heart,4 Spades,4 Heart,8 Heart,Ace Diamonds,One pair
Queen Diamonds,4 Spades,8 Diamonds,10 Clubs,4 Clubs,One pair
8 Heart,Ace Spades,4 Clubs,10 Spades,2 Spades,Nothing in hand
4 Diamonds,10 Heart,5 Heart,King Spades,9 Spades,Nothing in hand
8 Diamonds,5 Diamonds,King Heart,Ace Diamonds,Queen Clubs,Nothing in hand
7 Diamonds,6 Clubs,King Diamonds,Jack Heart,King Heart,One pair
8 Clubs,7 Heart,Jack Clubs,10 Diamonds,8 Heart,One pair
9 Heart,Queen Heart,3 Spades,Jack Spades,Ace Diamonds,Nothing in hand
5 Heart,3 Heart,Ace Clubs,8 Heart,King Heart,Nothing in hand
6 Heart,Queen Spades,10 Heart,Jack Heart,5 Clubs,Nothing in hand
7 Heart,5 Heart,7 Spades,10 Spades,6 Spades,One pair
King Heart,9 Diamonds,5 Diamonds,7 Spades,10 Diamonds,Nothing in hand
Queen Heart,3 Clubs,8 Heart,10 Spades,8 Spades,One pair
3 Diamonds,5 Heart,6 Heart,Queen Diamonds,8 Heart,Nothing in hand
6 Heart,8 Heart,King Diamonds,Ace Clubs,Jack Heart,Nothing in hand
5 Clubs,3 Heart,10 Heart,Ace Heart,Jack Heart,Nothing in hand
4 Diamonds,6 Diamonds,Jack Clubs,3 Spades,5 Heart,Nothing in hand
Queen Heart,7 Clubs,9 Clubs,6 Diamonds,Jack Heart,Nothing in hand
Jack Heart,3 Diamonds,10 Spades,10 Heart,6 Diamonds,One pair
2 Spades,3 Clubs,7 Spades,Ace Diamonds,5 Spades,Nothing in hand
2 Heart,Ace Spades,9 Diamonds,8 Heart,6 Diamonds,Nothing in hand
Jack Clubs,6 Diamonds,6 Heart,7 Diamonds,Queen Heart,One pair
7 Spades,Queen Spades,6 Clubs,7 Heart,King Clubs,One pair
2 Spades,Queen Spades,4 Diamonds,Ace Clubs,6 Heart,Nothing in hand
8 Spades,Ace Spades,Jack Spades,Queen Spades,5 Heart,Nothing in hand
Queen Clubs,Queen Diamonds,Queen Heart,9 Clubs,6 Heart,Three of a kind
4 Clubs,10 Clubs,2 Spades,3 Diamonds,4 Diamonds,One pair
8 Heart,Queen Clubs,3 Heart,2 Heart,2 Spades,One pair
7 Heart,Ace Clubs,2 Spades,8 Heart,5 Heart,Nothing in hand
7 Diamonds,3 Heart,7 Clubs,6 Heart,King Diamonds,One pair
7 Heart,6 Diamonds,Ace Heart,6 Clubs,10 Clubs,One pair
King Clubs,Jack Spades,4 Diamonds,Ace Diamonds,8 Clubs,Nothing in hand
4 Heart,9 Heart,Queen Heart,6 Diamonds,10 Diamonds,Nothing in hand
7 Clubs,10 Diamonds,King Clubs,7 Diamonds,8 Clubs,One pair
Jack Heart,King Heart,6 Clubs,Queen Heart,10 Diamonds,Nothing in hand
10 Spades,4 Clubs,4 Diamonds,9 Diamonds,5 Diamonds,One pair
8 Diamonds,3 Heart,Jack Spades,King Heart,2 Heart,Nothing in hand
Queen Spades,3 Spades,3 Diamonds,5 Clubs,7 Spades,One pair
5 Heart,7 Heart,6 Heart,Ace Spades,6 Diamonds,One pair
8 Diamonds,Ace Spades,9 Clubs,6 Heart,6 Diamonds,One pair
King Clubs,King Diamonds,5 Diamonds,Jack Diamonds,6 Heart,One pair
7 Clubs,10 Clubs,Jack Diamonds,7 Heart,King Clubs,One pair
Queen Heart,10 Diamonds,5 Clubs,7 Diamonds,Queen Spades,One pair
4 Heart,5 Diamonds,8 Heart,2 Heart,Ace Heart,Nothing in hand
Ace Diamonds,10 Diamonds,6 Clubs,3 Clubs,3 Spades,One pair
Ace Diamonds,Ace Clubs,6 Heart,7 Spades,2 Spades,One pair
10 Heart,9 Heart,5 Clubs,Ace Spades,8 Diamonds,Nothing in hand
2 Heart,2 Spades,Ace Heart,6 Diamonds,5 Diamonds,One pair
10 Diamonds,King Heart,6 Clubs,9 Clubs,5 Spades,Nothing in hand
7 Diamonds,Jack Heart,6 Spades,Ace Spades,7 Heart,One pair
2 Spades,4 Heart,7 Clubs,7 Diamonds,2 Diamonds,Two pairs
8 Heart,9 Diamonds,5 Diamonds,King Heart,Queen Diamonds,Nothing in hand
10 Heart,3 Diamonds,5 Diamonds,10 Clubs,6 Diamonds,One pair
8 Spades,4 Spades,6 Heart,9 Diamonds,Ace Clubs,Nothing in hand
Jack Spades,8 Diamonds,6 Diamonds,4 Heart,10 Spades,Nothing in hand
5 Clubs,Jack Clubs,10 Clubs,8 Clubs,6 Spades,Nothing in hand
Ace Spades,King Heart,4 Heart,Ace Heart,7 Spades,One pair
4 Spades,5 Heart,7 Spades,3 Diamonds,Jack Spades,Nothing in hand
5 Spades,10 Diamonds,Queen Clubs,5 Heart,Queen Heart,Two pairs
5 Spades,10 Heart,Jack Diamonds,4 Diamonds,5 Diamonds,One pair
10 Diamonds,5 Heart,King Diamonds,4 Clubs,4 Diamonds,One pair
Jack Diamonds,King Diamonds,4 Diamonds,9 Spades,Ace Diamonds,Nothing in hand
King Heart,King Diamonds,2 Spades,7 Diamonds,7 Heart,Two pairs
Ace Clubs,King Heart,King Diamonds,6 Clubs,9 Clubs,One pair
7 Clubs,9 Spades,7 Heart,4 Heart,3 Heart,One pair
4 Spades,6 Spades,Queen Clubs,5 Heart,King Clubs,Nothing in hand
2 Heart,Jack Diamonds,4 Clubs,Ace Heart,2 Clubs,One pair
4 Heart,7 Clubs,Jack Diamonds,Jack Heart,Queen Clubs,One pair
7 Diamonds,9 Heart,King Clubs,3 Heart,Ace Diamonds,Nothing in hand
6 Clubs,3 Heart,10 Clubs,7 Heart,2 Clubs,Nothing in hand
4 Spades,7 Spades,10 Heart,9 Spades,2 Diamonds,Nothing in hand
Ace Diamonds,Ace Clubs,10 Spades,9 Spades,7 Diamonds,One pair
3 Spades,4 Diamonds,9 Heart,10 Spades,Ace Diamonds,Nothing in hand
6 Spades,4 Spades,6 Diamonds,9 Heart,5 Heart,One pair
4 Heart,Queen Spades,7 Spades,3 Diamonds,3 Spades,One pair
9 Heart,Ace Clubs,8 Clubs,7 Heart,King Diamonds,Nothing in hand
9 Spades,4 Spades,6 Spades,Ace Diamonds,3 Diamonds,Nothing in hand
Queen Spades,4 Heart,3 Spades,Jack Spades,10 Diamonds,Nothing in hand
2 Spades,7 Heart,6 Spades,5 Heart,Jack Heart,Nothing in hand
2 Spades,Jack Heart,8 Clubs,5 Spades,Queen Diamonds,Nothing in hand
4 Clubs,King Heart,9 Spades,10 Heart,3 Diamonds,Nothing in hand
Ace Spades,8 Diamonds,3 Heart,4 Spades,6 Heart,Nothing in hand
Ace Diamonds,9 Heart,8 Diamonds,Queen Clubs,3 Heart,Nothing in hand
9 Heart,6 Spades,5 Spades,4 Spades,8 Spades,Nothing in hand
Ace Diamonds,King Clubs,9 Clubs,7 Diamonds,King Heart,One pair
8 Diamonds,4 Heart,4 Diamonds,Ace Diamonds,2 Spades,One pair
2 Heart,8 Clubs,4 Diamonds,King Clubs,3 Heart,Nothing in hand
10 Clubs,3 Heart,6 Clubs,7 Diamonds,7 Clubs,One pair
10 Clubs,3 Spades,4 Heart,King Diamonds,6 Spades,Nothing in hand
9 Spades,6 Clubs,Jack Spades,3 Clubs,Jack Clubs,One pair
9 Spades,3 Spades,7 Spades,10 Spades,2 Clubs,Nothing in hand
4 Spades,8 Diamonds,Queen Diamonds,7 Diamonds,9 Heart,Nothing in hand
Jack Clubs,4 Heart,Ace Heart,2 Clubs,4 Clubs,One pair
Ace Diamonds,4 Diamonds,6 Heart,5 Clubs,Ace Clubs,One pair
6 Spades,Jack Clubs,2 Heart,9 Diamonds,Queen Spades,Nothing in hand
10 Diamonds,6 Heart,8 Heart,9 Spades,5 Diamonds,Nothing in hand
King Spades,King Diamonds,7 Spades,9 Spades,2 Diamonds,One pair
3 Clubs,5 Spades,4 Diamonds,6 Diamonds,10 Heart,Nothing in hand
10 Spades,7 Diamonds,6 Heart,2 Clubs,3 Heart,Nothing in hand
10 Heart,10 Spades,King Spades,6 Spades,5 Clubs,One pair
7 Clubs,2 Spades,Ace Heart,Jack Diamonds,Queen Spades,Nothing in hand
2 Clubs,10 Heart,8 Clubs,Ace Diamonds,4 Diamonds,Nothing in hand
9 Diamonds,8 Clubs,2 Diamonds,Ace Diamonds,Ace Heart,One pair
6 Diamonds,8 Spades,Jack Clubs,8 Diamonds,8 Clubs,Three of a kind
4 Clubs,8 Spades,3 Clubs,7 Heart,7 Diamonds,One pair
Queen Diamonds,Ace Spades,King Clubs,2 Clubs,7 Clubs,Nothing in hand
6 Diamonds,5 Clubs,10 Heart,9 Diamonds,8 Heart,Nothing in hand
Ace Clubs,8 Diamonds,9 Diamonds,10 Spades,8 Clubs,One pair
King Heart,4 Heart,7 Clubs,10 Clubs,8 Diamonds,Nothing in hand
5 Diamonds,4 Clubs,Jack Spades,4 Diamonds,Ace Diamonds,One pair
3 Clubs,2 Heart,10 Spades,3 Heart,9 Clubs,One pair
5 Diamonds,9 Heart,2 Spades,3 Heart,8 Spades,Nothing in hand
6 Clubs,9 Heart,Ace Spades,3 Diamonds,3 Clubs,One pair
3 Heart,8 Diamonds,7 Clubs,4 Diamonds,Ace Clubs,Nothing in hand
2 Spades,7 Clubs,10 Clubs,6 Clubs,3 Diamonds,Nothing in hand
7 Spades,King Clubs,Ace Diamonds,8 Heart,Queen Heart,Nothing in hand
4 Diamonds,9 Heart,3 Spades,3 Clubs,Jack Heart,One pair
10 Heart,7 Diamonds,Ace Diamonds,7 Spades,5 Diamonds,One pair
3 Heart,3 Diamonds,6 Heart,Jack Heart,2 Heart,One pair
Queen Clubs,King Diamonds,Jack Spades,2 Diamonds,Jack Clubs,One pair
9 Diamonds,4 Clubs,Queen Spades,10 Diamonds,Ace Spades,Nothing in hand
8 Heart,4 Diamonds,4 Heart,5 Spades,8 Spades,Two pairs
9 Heart,King Diamonds,Queen Clubs,4 Spades,7 Clubs,Nothing in hand
10 Heart,4 Spades,10 Spades,9 Diamonds,3 Heart,One pair
King Clubs,Queen Diamonds,Queen Heart,10 Clubs,King Spades,Two pairs
8 Heart,10 Spades,8 Clubs,Jack Heart,9 Clubs,One pair
Ace Spades,7 Heart,Jack Clubs,6 Heart,8 Diamonds,Nothing in hand
6 Clubs,2 Heart,8 Clubs,9 Clubs,Ace Heart,Nothing in hand
7 Clubs,4 Diamonds,Queen Diamonds,2 Diamonds,7 Spades,One pair
10 Spades,6 Diamonds,6 Spades,5 Diamonds,8 Diamonds,One pair
Jack Spades,4 Heart,Ace Clubs,2 Clubs,3 Clubs,Nothing in hand
8 Heart,7 Diamonds,Ace Clubs,2 Clubs,8 Diamonds,One pair
Queen Heart,Jack Heart,Ace Diamonds,7 Diamonds,Queen Clubs,One pair
King Heart,5 Heart,3 Diamonds,Jack Clubs,8 Heart,Nothing in hand
King Clubs,4 Spades,King Spades,Ace Heart,4 Diamonds,Two pairs
10 Clubs,King Spades,2 Clubs,Queen Diamonds,8 Diamonds,Nothing in hand
4 Spades,7 Heart,3 Spades,2 Heart,King Spades,Nothing in hand
5 Diamonds,King Heart,6 Clubs,King Spades,2 Heart,One pair
6 Heart,3 Spades,Ace Heart,8 Heart,Jack Heart,Nothing in hand
2 Clubs,3 Clubs,Ace Spades,Ace Heart,Ace Diamonds,Three of a kind
4 Clubs,10 Diamonds,Jack Spades,5 Spades,King Spades,Nothing in hand
10 Clubs,3 Heart,10 Diamonds,Jack Clubs,5 Diamonds,One pair
10 Clubs,2 Diamonds,4 Spades,10 Diamonds,10 Heart,Three of a kind
6 Heart,8 Clubs,Ace Heart,9 Spades,Queen Clubs,Nothing in hand
King Diamonds,10 Spades,2 Spades,Queen Spades,Ace Clubs,Nothing in hand
4 Spades,Ace Diamonds,10 Heart,2 Heart,7 Diamonds,Nothing in hand
3 Spades,4 Spades,King Spades,7 Spades,King Heart,One pair
2 Diamonds,Jack Diamonds,Ace Heart,Ace Diamonds,4 Spades,One pair
Queen Spades,3 Heart,Ace Heart,8 Diamonds,King Clubs,Nothing in hand
Jack Spades,King Clubs,5 Heart,9 Clubs,Ace Clubs,Nothing in hand
3 Spades,3 Diamonds,King Spades,8 Clubs,Queen Clubs,One pair
3 Diamonds,8 Diamonds,8 Spades,2 Heart,4 Diamonds,One pair
4 Clubs,7 Heart,10 Diamonds,2 Heart,2 Clubs,One pair
4 Clubs,3 Diamonds,Jack Spades,4 Diamonds,3 Spades,Two pairs
Queen Clubs,3 Heart,Ace Clubs,6 Heart,9 Heart,Nothing in hand
10 Diamonds,Queen Heart,Queen Clubs,Ace Spades,Jack Spades,One pair
8 Spades,2 Diamonds,4 Spades,2 Clubs,6 Spades,One pair
7 Diamonds,4 Diamonds,Ace Diamonds,Queen Clubs,6 Clubs,Nothing in hand
3 Diamonds,Ace Clubs,3 Clubs,3 Heart,7 Diamonds,Three of a kind
King Spades,6 Diamonds,9 Diamonds,7 Clubs,King Clubs,One pair
Jack Clubs,4 Spades,Jack Heart,8 Diamonds,7 Diamonds,One pair
Queen Diamonds,Ace Clubs,9 Diamonds,10 Spades,10 Heart,One pair
8 Spades,2 Spades,Queen Heart,Ace Clubs,4 Heart,Nothing in hand
King Clubs,5 Diamonds,4 Spades,Ace Spades,3 Heart,Nothing in hand
Ace Heart,5 Heart,10 Heart,2 Clubs,Queen Heart,Nothing in hand
5 Heart,Jack Spades,6 Heart,7 Clubs,6 Spades,One pair
Queen Clubs,King Clubs,6 Spades,9 Clubs,Ace Clubs,Nothing in hand
7 Diamonds,7 Clubs,Ace Clubs,4 Diamonds,10 Diamonds,One pair
7 Diamonds,Queen Spades,3 Diamonds,6 Spades,5 Spades,Nothing in hand
Jack Clubs,Queen Spades,Jack Diamonds,6 Clubs,5 Heart,One pair
4 Heart,Queen Spades,6 Heart,5 Spades,10 Heart,Nothing in hand
3 Clubs,10 Diamonds,Ace Spades,7 Heart,Jack Clubs,Nothing in hand
2 Diamonds,3 Spades,10 Clubs,4 Diamonds,Ace Clubs,Nothing in hand
Jack Spades,9 Heart,6 Heart,5 Spades,Queen Clubs,Nothing in hand
8 Diamonds,Ace Heart,Ace Spades,6 Diamonds,Jack Diamonds,One pair
8 Heart,Ace Clubs,10 Spades,King Diamonds,6 Diamonds,Nothing in hand
Jack Spades,10 Spades,Queen Diamonds,10 Diamonds,3 Diamonds,One pair
4 Clubs,King Heart,8 Heart,6 Diamonds,4 Heart,One pair
3 Diamonds,5 Clubs,4 Diamonds,4 Clubs,3 Heart,Two pairs
10 Clubs,9 Diamonds,Ace Diamonds,8 Spades,8 Clubs,One pair
4 Clubs,King Clubs,10 Heart,Queen Clubs,4 Spades,One pair
Ace Clubs,Queen Spades,10 Diamonds,7 Spades,King Spades,Nothing in hand
4 Spades,3 Diamonds,7 Heart,Ace Spades,Ace Clubs,One pair
6 Spades,Ace Clubs,10 Diamonds,3 Spades,5 Spades,Nothing in hand
Jack Diamonds,7 Spades,2 Spades,8 Heart,Ace Heart,Nothing in hand
8 Heart,Queen Clubs,3 Diamonds,7 Heart,5 Spades,Nothing in hand
King Spades,Queen Spades,2 Spades,8 Spades,3 Clubs,Nothing in hand
Queen Heart,Jack Spades,Ace Diamonds,Queen Spades,Ace Clubs,Two pairs
4 Spades,2 Spades,Queen Clubs,10 Spades,10 Heart,One pair
5 Clubs,Queen Spades,Ace Clubs,8 Heart,10 Clubs,Nothing in hand
4 Diamonds,King Clubs,2 Spades,King Spades,Ace Clubs,One pair
Queen Clubs,7 Clubs,5 Spades,3 Diamonds,9 Clubs,Nothing in hand
Queen Diamonds,4 Spades,7 Heart,9 Clubs,7 Diamonds,One pair
8 Diamonds,Ace Spades,10 Spades,10 Diamonds,5 Clubs,One pair
9 Clubs,9 Diamonds,4 Diamonds,5 Clubs,King Diamonds,One pair
9 Spades,3 Diamonds,9 Clubs,3 Heart,5 Clubs,Two pairs
8 Heart,King Spades,2 Diamonds,9 Clubs,King Heart,One pair
5 Heart,9 Heart,Ace Heart,4 Spades,2 Diamonds,Nothing in hand
3 Heart,3 Clubs,4 Diamonds,10 Spades,2 Clubs,One pair
Queen Clubs,4 Clubs,6 Heart,King Diamonds,Jack Spades,Nothing in hand
7 Diamonds,7 Heart,9 Clubs,4 Diamonds,3 Spades,One pair
Jack Heart,Queen Clubs,3 Clubs,Queen Spades,5 Diamonds,One pair
5 Spades,10 Heart,Ace Spades,7 Heart,8 Clubs,Nothing in hand
2 Heart,10 Clubs,Ace Spades,9 Spades,9 Diamonds,One pair
Ace Spades,Queen Spades,6 Clubs,2 Heart,4 Spades,Nothing in hand
Ace Heart,2 Clubs,6 Heart,8 Clubs,7 Heart,Nothing in hand
Jack Diamonds,8 Spades,Queen Spades,Queen Heart,2 Spades,One pair
9 Heart,4 Diamonds,Queen Heart,Ace Spades,4 Heart,One pair
Queen Clubs,9 Spades,Jack Clubs,2 Heart,8 Clubs,Nothing in hand
10 Diamonds,King Diamonds,King Spades,Ace Spades,Ace Diamonds,Two pairs
King Heart,10 Clubs,2 Heart,8 Heart,Queen Diamonds,Nothing in hand
8 Diamonds,5 Heart,Ace Clubs,8 Heart,5 Spades,Two pairs
2 Clubs,Ace Clubs,Queen Diamonds,8 Spades,7 Clubs,Nothing in hand
4 Spades,10 Diamonds,2 Clubs,2 Diamonds,9 Diamonds,One pair
9 Spades,2 Clubs,10 Spades,3 Spades,Queen Spades,Nothing in hand
3 Spades,King Diamonds,Jack Diamonds,8 Spades,4 Diamonds,Nothing in hand
Queen Diamonds,Ace Clubs,Jack Heart,3 Diamonds,10 Diamonds,Nothing in hand
King Heart,10 Diamonds,5 Clubs,7 Diamonds,4 Clubs,Nothing in hand
Jack Diamonds,10 Spades,5 Diamonds,King Heart,7 Clubs,Nothing in hand
5 Clubs,2 Heart,King Clubs,Queen Spades,9 Spades,Nothing in hand
